A00;Χολέρα
Y84.7;Δειγματοληψία αίματος
Y84.8;Άλλες ιατρικές πράξεις 
Y84.9;Ιατρική πράξη, μη καθορισμένη
Y85;Όψιμα αποτελέσματα ατυχημάτων μεταφοράς
Y85.0;Όψιμα αποτελέσματα ατυχήματος με μηχανοκίνητο όχημα
Y85.9;Όψιμα αποτελέσματα άλλων και μη καθορισμένων ατυχημάτων μεταφοράς
Y86; Όψιμα αποτελέσματα άλλων ατυχημάτων
Y87;Όψιμα αποτελέσματα σκόπιμου αυτοτραυματισμού, επίθεσης και γεγονότων χωρίς καθορισμένη πρόθεση
Y87.0;Όψιμα αποτελέσματα σκόπιμου αυτοτραυματισμού
Y87.1;Όψιμα αποτελέσματα επίθεσης
Y87.2;Όψιμα αποτελέσματα γεγονότων μη καθορισμένης πρόθεσης
Y88;Όψιμα αποτελέσματα όπου η χειρουργική και ιατρική φροντίδα αποτελούν την εξωτερική αιτία
Y88.0;Όψιμα αποτελέσματα ανεπιθύμητων ενεργειών προκαλούνται από φάρμακα, φαρμακευτικές και βιολογικές ουσίες κατά τη θεραπευτική τους χρήση
Y88.1;Όψιμα αποτελέσματα ατυχών περιστατικών που συμβαίνουν στον ασθενή κατά τη διάρκεια χειρουργικών και ιατρικών πράξεων 
Y88.2;Όψιμα αποτελέσματα ανεπιθύμητων περιστατικών που σχετίζονται με ιατρικές συσκευές κατά τη διαγνωστική και θεραπευτική τους χρήση
Y88.3;Όψιμα αποτελέσματα χειρουργικών και ιατρικών πράξεων ως η αιτία παθολογικής αντίδρασης του ασθενούς ή όψιμης επιπλοκής, χωρίς αναφορά στο ατυχές περιστατικό κατά τη διάρκεια της πράξης
Y89;Όψιμα αποτελέσματα άλλων εξωτερικών αιτιών
Y89.0;Όψιμα αποτελέσματα νόμιμης παρέμβασης
Y89.1;Όψιμα αποτελέσματα πολεμικών επιχειρήσεων
Y89.9;Όψιμα αποτελέσματα μη καθορισμένης εξωτερικής αιτίας
Y90;Απόδειξη της συμμετοχής αλκοόλ μέσω προσδιορισμού του επιπέδου της αλκοόλης στο αίμα
Y90.0;Επίπεδο αλκοόλ στο αίμα λιγότερο από 20 mg/100 ml
Y90.1;Επίπεδο αλκοόλ στο αίμα από 20 - 39 mg/100 ml
Y90.2;Επίπεδο αλκοόλ στο αίμα από 40 - 59 mg/100 ml
Y90.3;Επίπεδο αλκοόλ στο αίμα από 60 - 79 mg/100 ml
Y90.4;Επίπεδο αλκοόλ στο αίμα από 80 - 99 mg/100 ml
Y90.5;Επίπεδο αλκοόλ στο αίμα από 100 - 119 mg/100 ml
Y90.6;Επίπεδο αλκοόλ στο αίμα από 120 - 199 mg/100 ml
Y90.7;Επίπεδο αλκοόλ στο αίμα από 200 - 239 mg/100 ml
Y90.8;Επίπεδο αλκοόλ στο αίμα από 240 mg/100 ml ή περισσότερο
Y90.9;Παρουσία αλκοόλ στο αίμα, χωρίς να καθορίζεται το επίπεδο
Y91;Απόδειξη της συμμετοχής αλκοόλ μέσω προσδιορισμού του επιπέδου της δηλητηρίασης
Y91.0;Ήπια δηλητηρίαση από αλκοόλ (μέθη)
Y91.1;Μέτρια δηλητηρίαση από αλκοόλ
Y91.2;Σοβαρή δηλητηρίαση από αλκοόλ
Y91.3;Πολύ σοβαρή δηλητηρίαση από αλκοόλ
Y91.9;Συμμετοχή αλκοόλ, που δεν καθορίζεται αλλιώς
Y95;Νοσοκομειακή κατάσταση
Y96;Κατάσταση που σχετίζεται με την εργασία (επάγγελμα)
Y97;Κατάσταση που σχετίζεται με την μόλυνση του περιβάλλοντος
Y98; Κατάσταση που σχετίζεται με τον τρόπο ζωής
Z00;Γενική εξέταση και διερεύνηση ατόμων χωρίς ενόχλημα και αναφερόμενη διάγνωση
Z00.0;Γενική ιατρική εξέταση
Z00.1;Εξέταση ρουτίνας παιδιού
Z00.2;Εξέταση για την περίοδο της ταχείας ανάπτυξης κατά την παιδική ηλικία
Z00.3;Εξέταση για το επίπεδο της ανάπτυξης κατά την εφηβεία 
Z00.4;Γενική ψυχιατρική εξέταση, που δεν ταξινομείται αλλού
Z00.5;Εξέταση πιθανού δότη οργάνου και ιστού
Z00.6;Εξέταση για φυσιολογικές συγκρίσεις και έλεγχο σε πρόγραμμα κλινικής έρευνας
Z00.8;Άλλες γενικές εξετάσεις
Z01;Άλλες ειδικές εξετάσεις και διερευνήσεις ατόμων χωρίς ενοχλήματα ή αναφερόμενη διάγνωση
Z01.0;Εξέταση οφθαλμών και όρασης
Z01.1;Εξέταση  ώτων και ακοής
Z01.2;Οδοντιατρική εξέταση 
Z01.3;Εξέταση της αρτηριακής πίεσης
Z01.4;Γυναικολογική εξέταση (γενική) (ρουτίνας)
Z01.5;Διαγνωστικές δερματικές δοκιμασίες και δοκιμασίες ευαισθησίας
Z01.6;Ακτινολογική εξέταση,  που δεν ταξινομείται αλλού
Z01.7;Εργαστηριακή εξέταση 
Z01.8;Άλλες καθορισμένες ειδικές εξετάσεις
Z01.9;Ειδική εξέταση, μη καθορισμένη
Z02;Εξέταση για διοικητικούς σκοπούς
Z02.0;Εξέταση για την εισαγωγή σε εκπαιδευτικό ίδρυμα
Z02.1;Εξέταση που προηγείται της πρόσληψης ατόμου σε εργασία
Z02.2;Εξέταση για την εισαγωγή ατόμων σε ιδρύματα
Z02.3;Εξέταση για την κατάταξη στις ένοπλες δυνάμεις
Z02.4;Εξέταση για άδεια οδήγησης
Z02.5;Εξέταση για συμμετοχή σε άθλημα
Z02.6;Εξέταση για ασφαλιστικούς σκοπούς
Z02.7;Έκδοση ιατρικού πιστοποιητικού
Z02.8;Άλλες εξετάσεις για διοικητικούς σκοπούς
Z02.9;Εξέταση για διοικητικούς σκοπούς, μη καθορισμένη
Z03;Ιατρική παρακολούθηση και εκτίμηση για ύποπτα νοσήματα και καταστάσεις
Z03.0;Παρακολούθηση για ύποπτη φυματίωση
Z03.1;Παρακολούθηση για ύποπτο κακόηθες νεόπλασμα
Z03.2;Παρακολούθηση για ύποπτες ψυχικές διαταραχές και διαταραχές συμπεριφοράς 
Z03.3;Παρακολούθηση για ύποπτη διαταραχή του νευρικού συστήματος
Z03.4;Παρακολούθηση για ύποπτο έμφραγμα του μυοκαρδίου
Z03.5;Παρακολούθηση για άλλα ύποπτα καρδιαγγειακά νοσήματα 
Z03.6;Παρακολούθηση για ύποπτη τοξική επίδραση από την κατάποση ουσίας
Z03.8;Παρακολούθηση για άλλα ύποπτα νοσήματα και καταστάσεις
Z03.9;Παρακολούθηση για ύποπτο νόσημα ή κατάσταση, μη καθορισμένη
Z04;Εξέταση και παρακολούθηση για άλλους λόγους
Z04.0;Εξέταση αίματος για επίπεδο αλκοόλ και επίπεδο φαρμάκου
Z04.1;Εξέταση και παρακολούθηση μετά από ατύχημα μεταφοράς
Z04.2;Εξέταση και παρακολούθηση μετά από εργατικό ατύχημα
Z04.3;Εξέταση και παρακολούθηση μετά από άλλο ατύχημα
Z04.4;Εξέταση και παρακολούθηση μετά από ισχυρισμό για  βιασμό και αποπλάνηση
Z04.5;Εξέταση και παρακολούθηση μετά από άλλη προκληθείσα σωματική βλάβη 
Z04.6;Γενική ψυχιατρική εξέταση, μετά από αίτημα των αρχών
Z04.8;Εξέταση  και παρατήρηση για άλλους καθορισμένους λόγους
Z04.9;Εξέταση  και παρατήρηση για μη καθορισμένο λόγο
Z08;Περιοδική εξέταση παρακολούθησης [follow-up] μετά τη θεραπεία για κακοήθη νεοπλάσματα
Z08.0;Περιοδική εξέταση παρακολούθησης [follow-up] μετά από χειρουργική επέμβαση για κακόηθες νεόπλασμα
Z08.1;Περιοδική εξέταση παρακολούθησης [follow-up] μετά από ακτινοθεραπεία για κακόηθες νεόπλασμα
Z08.2;Περιοδική εξέταση παρακολούθησης [follow-up] μετά από χημειοθεραπεία για κακόηθες νεόπλασμα
Z08.7;Περιοδική εξέταση παρακολούθησης [follow-up] μετά από συνδυασμένη θεραπεία για κακόηθες νεόπλασμα
Z08.8;Περιοδική εξέταση παρακολούθησης [follow-up] μετά από άλλη θεραπεία για κακόηθες νεόπλασμα
Z08.9;Περιοδική εξέταση παρακολούθησης [follow-up] μετά από μη καθορισμένη θεραπεία για κακόηθες νεόπλασμα 
Z09;Περιοδική εξέταση παρακολούθησης [follow-up] μετά από θεραπεία για άλλες καταστάσεις εκτός κακοήθων νεοπλασμάτων
Z09.0;Περιοδική εξέταση παρακολούθησης [follow-up] μετά από εγχείρηση για άλλες καταστάσεις 
Z09.1;Περιοδική εξέταση παρακολούθησης [follow-up] μετά από ακτινοθεραπεία για άλλες καταστάσεις
Z09.2;Περιοδική εξέταση παρακολούθησης [follow-up] μετά από χημειοθεραπεία για άλλες καταστάσεις
Z09.3;Περιοδική εξέταση παρακολούθησης [follow-up] μετά από ψυχοθεραπεία
Z09.4;Περιοδική εξέταση παρακολούθησης [follow-up] μετά από θεραπεία κατάγματος
Z09.7;Περιοδική εξέταση παρακολούθησης [follow-up] μετά από συνδυασμένη θεραπεία για άλλες καταστάσεις
Z09.8;Περιοδική εξέταση παρακολούθησης [follow-up] μετά από άλλη θεραπεία για άλλες καταστάσεις
Z09.9;Περιοδική εξέταση παρακολούθησης [follow-up] μετά από μη καθορισμένη θεραπεία για άλλες καταστάσεις
Z10;Γενικός προσυμπτωματικός έλεγχος ρουτίνας καθορισμένου υποπληθυσμού
Z10.0;Εξέταση επαγγελματικής υγείας
Z10.1;Γενικός προσυμπτωματικός έλεγχος ρουτίνας ενοίκων ιδρυμάτων
Z10.2;Γενικός προσυμπτωματικός έλεγχος ρουτίνας στις ένοπλες δυνάμεις 
Z10.3;Γενικός προσυμπτωματικός έλεγχος ρουτίνας σε αθλητικές ομάδες
Z10.8;Γενικός προσυμπτωματικός έλεγχος ρουτίνας άλλων καθορισμένων υποπληθυσμών 
Z11;Ειδική εξέταση διαλογής για λοιμώδη και παρασιτικά νοσήματα
Z11.0;Ειδική εξέταση διαλογής για λοιμώδη νοσήματα του εντέρου
Z11.1;Ειδική εξέταση διαλογής για τη φυματίωση του αναπνευστικού
Z11.2;Ειδική εξέταση διαλογής για άλλα βακτηριακά νοσήματα
Z11.3;Ειδική εξέταση διαλογής για λοιμώξεις που μεταδίδονται κυρίως με τη σεξουαλική οδό
Z11.4;Ειδική εξέταση διαλογής για τον ιό της επίκτητης ανοσοανεπάρκειας του ανθρώπου [HIV]
Z11.5;Ειδική εξέταση διαλογής για άλλα ιογενή νοσήματα
Z11.6;Ειδική εξέταση διαλογής για άλλα πρωτοζωϊκά νοσήματα και ελμινθιάσεις 
Z11.8;Ειδική εξέταση διαλογής για άλλα λοιμώδη και παρασιτικά νοσήματα:
Z11.9;Ειδική εξέταση διαλογής για λοιμώδη και παρασιτικά νοσήματα, μη καθορισμένα
Z12;Ειδική εξέταση διαλογής για νεοπλάσματα
Z12.0;Ειδική εξέταση διαλογής για νεόπλασμα του στομάχου 
Z12.1;Ειδική εξέταση διαλογής για νεόπλασμα της εντερικής οδού
Z12.2;Ειδική εξέταση διαλογής για νεόπλασμα αναπνευστικών οργάνων
Z12.3;Ειδική εξέταση διαλογής για νεόπλασμα του μαστού
Z12.4;Ειδική εξέταση διαλογής για νεόπλασμα του τραχήλου της μήτρας
Z12.5;Ειδική εξέταση διαλογής για νεόπλασμα του προστάτη
Z12.6;Ειδική εξέταση διαλογής για νεόπλασμα της ουροδόχου κύστης
Z12.8;Ειδική εξέταση διαλογής για νεοπλάσματα άλλων εντοπίσεων
Z12.9;Ειδική εξέταση διαλογής για νεόπλασμα, μη καθορισμένο 
Z13;Ειδική εξέταση διαλογής για άλλα νοσήματα και διαταραχές
Z13.0;Ειδική εξέταση διαλογής για νοσήματα του αίματος και των αιμοποιητικών οργάνων και για ορισμένες διαταραχές που αφορούν τον ανοσολογικό μηχανισμό
Z13.1;Ειδική εξέταση διαλογής για το σακχαρώδη διαβήτη
Z13.2;Ειδική εξέταση διαλογής για διατροφικές διαταραχές 
Z13.3;Ειδική εξέταση διαλογής για ψυχικές διαταραχές και διαταραχές της συμπεριφοράς 
Z13.4;Ειδική εξέταση διαλογής για ορισμένες αναπτυξιακές διαταραχές της παιδικής ηλικίας
Z13.5;Ειδική εξέταση διαλογής για οφθαλμικές και ωτολογικές διαταραχές
Z13.6;Ειδική εξέταση διαλογής για καρδιαγγειακές διαταραχές
Z13.7;Ειδική εξέταση διαλογής για συγγενείς ανωμαλίες, διαμαρτίες της διάπλασης και χρωμοσωμικές ανωμαλίες
Z13.8;Ειδική εξέταση διαλογής για  άλλα καθορισμένα νοσήματα και διαταραχές
Z13.9;Ειδική εξέταση διαλογής, μη καθορισμένη
Z20;Επαφή με και έκθεση σε μεταδοτικά νοσήματα
Z20.0;Επαφή με και έκθεση σε λοιμώδη νοσήματα του εντέρου
Z20.1;Επαφή με και έκθεση σε φυματίωση
Z20.2;Επαφή με και έκθεση σε λοιμώξεις που μεταδίδονται κυρίως σεξουαλικώς
Z20.3;Επαφή με και έκθεση σε λύσσα
Z20.4;Επαφή με και έκθεση σε ερυθρά
Z20.5;Επαφή με και έκθεση σε ιογενή ηπατίτιδα
Z20.6;Επαφή με και έκθεση στον ιό της επίκτητης ανοσοανεπάρκειας του ανθρώπου [HIV]
Z20.7;Επαφή με και έκθεση σε φθειρίαση, ακαρίαση και άλλες μολυσματικές νόσους από παράσιτα
Z20.8;Επαφή με και έκθεση σε άλλα μεταδοτικά νοσήματα
Z20.9;Επαφή με και έκθεση σε μη καθορισμένο μεταδοτικό νόσημα
Z21;Κατάσταση ασυμπτωματική λοίμωξης από τον ιό της ανοσολογικής ανεπάρκειας του ανθρώπου [HIV]
Z22;Φορέας λοιμώδους νοσήματος
Z22.0;Φορέας τυφοειδούς πυρετού
Z22.1;Φορέας άλλων εντερικών λοιμωδών νοσημάτων 
Z22.2;Φορέας διφθερίτιδας
Z22.3;Φορέας άλλων καθορισμένων βακτηριακών νοσημάτων 
Z22.4;Φορέας λοιμώξεων που μεταδίδονται κυρίως σεξουαλικώς
Z22.5;Φορέας ιογενούς ηπατίτιδας
Z22.6;Φορέας λοίμωξης από τον ανθρώπινο Τ-λεμφοτροπικό ιό τύπου-1 [HTLV-1]
Z22.8;Φορέας άλλων λοιμωδών νοσημάτων 
Z22.9;Φορέας λοιμώδους νοσήματος, μη καθορισμένου 
Z23;Ανάγκη για εμβολιασμό κατά μεμονωμένων μικροβιακών νοσημάτων
Z23.0;Ανάγκη για εμβολιασμό κατά της χολέρας μεμονωμένα
Z23.1;Ανάγκη για εμβολιασμό κατά του τυφοειδούς και του παρατύφου μεμονωμένα [ΤΑΒ]
Z23.2;Ανάγκη για εμβολιασμό κατά της φυματίωσης [BCG]
Z23.3;Ανάγκη για εμβολιασμό κατά της πανώλης
Z23.4;Ανάγκη για εμβολιασμό κατά της τουλαραιμίας
Z23.5;Ανάγκη για εμβολιασμό κατά του τέτανου μεμονωμένα
Z23.6;Ανάγκη για εμβολιασμό κατά της διφθερίτιδας μεμονωμένα
Z23.7;Ανάγκη για εμβολιασμό κατά του κοκκύτη μεμονωμένα
Z23.8;Ανάγκη για εμβολιασμό κατά άλλων μεμονωμένων βακτηριακών νοσημάτων 
Z24;Ανάγκη για εμβολιασμό κατά ορισμένων μεμονωμένων ιογενών νοσημάτων 
Z24.0;Ανάγκη για εμβολιασμό κατά της πολιομυελίτιδας
Z24.1;Ανάγκη για εμβολιασμό κατά της ιογενούς εγκεφαλίτιδας που μεταδίδεται με αρθρόποδα
Z24.2;Ανάγκη για εμβολιασμό κατά της λύσσας
Z24.3;Ανάγκη για εμβολιασμό κατά του κίτρινου πυρετού
Z24.4;Ανάγκη για εμβολιασμό κατά της ιλαράς μεμονωμένα
Z24.5;Ανάγκη για εμβολιασμό κατά της ερυθράς μεμονωμένα
Z24.6;Ανάγκη για εμβολιασμό κατά της ιογενούς ηπατίτιδας
Z25;Ανάγκη για εμβολιασμό κατά άλλων μεμονωμένων ιογενών νοσημάτων 
Z25.0;Ανάγκη για εμβολιασμό κατά της παρωτίτιδας μεμονωμένα
Z25.1;Ανάγκη για εμβολιασμό κατά της γρίπης
Z25.8;Ανάγκη για εμβολιασμό κατά άλλων, καθορισμένων μεμονωμένων ιογενών νοσημάτων
Z26;Ανάγκη για εμβολιασμό κατά άλλων μεμονωμένων λοιμωδών νοσημάτων 
Z26.0;Ανάγκη για εμβολιασμό κατά της λεϊσμανίασης
Z26.8;Ανάγκη για εμβολιασμό κατά άλλων καθορισμένων μεμονωμένων λοιμωδών νοσημάτων 
Z26.9;Ανάγκη για εμβολιασμό κατά μη καθορισμένου λοιμώδους νοσήματος
Z27;Ανάγκη για εμβολιασμό κατά συνδυασμών λοιμωδών νοσημάτων
Z27.0;Ανάγκη για εμβολιασμό κατά της χολέρας με τυφοειδή-παράτυφο [χολέρα + ΤΑΒ]
Z27.1;Ανάγκη για εμβολιασμό κατά της διφθερίτιδας-τετάνου–κοκκύτη, σε συνδυασμό [DTP]
Z27.2;Ανάγκη για εμβολιασμό κατά της διφθερίτιδας-τετάνου-κοκκύτη με τυφοειδή -παράτυφο [DTP + TAB]
Z27.3;Ανάγκη για εμβολιασμό κατά της διφθερίτιδας-τετάνου-κοκκύτη με πολιομυελίτιδα [DTP + polio]
Z27.4;Ανάγκη για εμβολιασμό κατά της ιλαράς-παρωτίτιδας-ερυθράς [MMR]
Z27.8;Ανάγκη για εμβολιασμό κατά άλλων συνδυασμών λοιμωδών νοσημάτων
Z27.9;Ανάγκη για εμβολιασμό κατά μη καθορισμένων συνδυασμών λοιμωδών νοσημάτων
Z28;Εμβολιασμός που δε διενεργήθηκε
Z28.0;Εμβολιασμός που δε διενεργήθηκε λόγω αντένδειξης
Z28.1;Εμβολιασμός που δε διενεργήθηκε μετά από απόφαση του ασθενή για λόγους πεποίθησης ή πίεσης από ομάδα
Z28.2;Εμβολιασμός που δε διενεργήθηκε μετά από απόφαση του ασθενή για άλλους και μη καθορισμένους λόγους
Z28.8;Εμβολιασμός που δε διενεργήθηκε για άλλους λόγους
Z28.9;Εμβολιασμός που δε διενεργήθηκε για μη καθορισμένο λόγο
Z29;Ανάγκη για άλλα προφυλακτικά μέτρα
Z29.0;Απομόνωση
Z29.1;Προφυλακτική ανοσοθεραπεία
Z29.2;Άλλη προφυλακτική χημειοθεραπεία 
Z29.8;Άλλα καθορισμένα προφυλακτικά μέτρα
Z29.9;Προφυλακτικό μέτρο, μη καθορισμένο
Z30;Διαχείριση της αντισύλληψης
Z30.0;Γενική συμβουλευτική και συστάσεις σχετικά με την αντισύλληψη 
Z30.1;Εισαγωγή (ενδομητρικής) αντισυλληπτικής συσκευής
Z30.2;Στείρωση
Z30.3;Σχετικά με την έμμηνο ρύση
Z30.4;Παρακολούθηση της χορήγησης αντισυλληπτικών φαρμάκων 
Z30.5;Παρακολούθηση (ενδομήτριας) αντισυλληπτικής συσκευής 
Z30.8;Άλλη διαχείριση της αντισύλληψης
Z30.9;Διαχείριση της αντισύλληψης, μη καθορισμένη
Z31;Χειρισμοί με σκοπό την αναπαραγωγή
Z31.0;Πλαστική αποκατάσταση σαλπίγγων ή σπερματικού πόρου μετά από προηγούμενη στείρωση 
Z31.1;Τεχνητή σπερματέγχυση
Z31.2;Γονιμοποίηση in vitro
Z31.3;Άλλες μέθοδοι υποβοηθούμενης γονιμοποίησης
Z31.4;Έλεγχος και διερεύνηση των οργάνων αναπαραγωγής 
Z31.5;Γενετική συμβουλευτική
Z31.6;Γενική συμβουλευτική και συστάσεις σχετικά με την αναπαραγωγή
Z31.8;Άλλοι χειρισμοί με σκοπό την αναπαραγωγή
Z31.9;Χειρισμοί με σκοπό την αναπαραγωγή
Z32;Εξέταση  και δοκιμασία κύησης
Z32.0;Κύηση, που δεν έχει (ακόμη) επιβεβαιωθεί 
Z32.1;Κύηση επιβεβαιωμένη
Z33;Κατάσταση κύησης, τυχαία
Z34;Επίβλεψη φυσιολογικής κύησης
Z34.0;Επίβλεψη φυσιολογικής πρώτης κύησης 
Z34.8;Επίβλεψη άλλης φυσιολογικής κύησης
Z34.9;Επίβλεψη φυσιολογικής κύησης, μη καθορισμένης
Z35;Επίβλεψη κύησης υψηλού κινδύνου
Z35.0;Επίβλεψη κύησης με ιστορικό υπογονιμότητας
Z35.1;Επίβλεψη κύησης με ιστορικό αποβολής
Z35.2;Επίβλεψη κύησης με άλλο φτωχό ιστορικό αναπαραγωγής ή μαιευτικό ιστορικό
Z35.3;Επίβλεψη κύησης με ιστορικό ανεπαρκούς προγεννητικής φροντίδας
Z35.4;Επίβλεψη κύησης σε πολύτοκο γυναίκα 
Z35.5;Επίβλεψη πρωτοτόκου μεγάλης ηλικίας
Z35.6;Επίβλεψη πολύ νεαρής πρωτοτόκου
Z35.7;Επίβλεψη κύησης υψηλού κινδύνου οφειλόμενου σε κοινωνικά προβλήματα
Z35.8;Επίβλεψη άλλων κυήσεων υψηλού κινδύνου
Z35.9;Επίβλεψη κύησης υψηλού κινδύνου, μη καθορισμένης
Z36;Προγεννητικός έλεγχος
Z36.0;Προγεννητικός έλεγχος για χρωμοσωμικές ανωμαλίες 
Z36.1;Προγεννητικός έλεγχος για αυξημένο επίπεδο της αλφα-φετοπρωτεΐνης
Z36.2;Άλλος προγεννητικός έλεγχος βασιζόμενος σε αμνιοκέντηση
Z36.3;Προγεννητικός έλεγχος για διαμαρτίες διάπλασης με τη χρήση υπερήχων ή άλλων φυσικών μεθόδων
Z36.4;Προγεννητικός έλεγχος για καθυστέρηση της εμβρυϊκής ανάπτυξης με τη χρήση υπερήχων και άλλων φυσικών μεθόδων
Z36.5;Προγεννητικός έλεγχος για ισοανοσοποίηση
Z36.8;Άλλος προγεννητικός έλεγχος 
Z36.9;Προγεννητικός έλεγχος, μη καθορισμένος
Z37;Έκβαση τοκετού
Z37.0;Τοκετός ενός ζώντος νεογνού
Z37.1;Τοκετός ενός θνησιγενούς νεογνού
Z37.2;Τοκετός δίδυμων, αμφότερα γεννημένα ζώντα
Z37.3;Τοκετός δίδυμων, γεννημένα το ένα ζωντανό και το ένα θνησιγενές
Z37.4;Τοκετός δίδυμων, αμφότερα θνησιγενή
Z37.5;Άλλος τοκετός πολύδυμων, όλα γεννημένα ζώντα
Z37.6;Άλλος τοκετός πολύδυμων, μερικά γεννημένα ζώντα
Z37.7;Άλλος τοκετός πολύδυμων, όλα θνησιγενή
Z37.9;Έκβαση τοκετού, μη καθορισμένη 
Z38;Γεννημένα ζώντα βρέφη σύμφωνα με τον τόπο γέννησης
Z38.0;Ένα βρέφος, γεννημένο σε νοσοκομείο
Z38.1;Ένα βρέφος, γεννημένο εκτός νοσοκομείου
Z38.2;Ένα βρέφος, γεννημένο σε μη καθορισμένο τόπο
Z38.3;Δίδυμο, γεννημένο σε νοσοκομείο
Z38.4;Δίδυμο, γεννημένο εκτός νοσοκομείου
Z38.5;Δίδυμο, γεννημένο σε μη καθορισμένο τόπο
Z38.6;Άλλο πολύδυμο, γεννημένο σε νοσοκομείο
Z38.7;Άλλο πολύδυμο, γεννημένο εκτός νοσοκομείου
Z38.8;Άλλο πολύδυμο, γεννημένο σε μη καθορισμένο τόπο
Z39;Φροντίδα μετά τον τοκετό και εξέταση 
Z39.0;Φροντίδα και εξέταση αμέσως μετά τον τοκετό
Z39.1;Φροντίδα και εξέταση της μητέρας σε γαλουχία
Z39.2;Συνήθης παρακολούθηση [follow-up] μετά τον τοκετό
Z40;Προφυλακτική χειρουργική επέμβαση 
Z40.0;Προφυλακτική χειρουργική επέμβαση για παράγοντες κινδύνου που σχετίζονται με κακοήθη νεοπλάσματα 
Z40.8;Άλλη προφυλακτική χειρουργική επέμβαση 
Z40.9;Προφυλακτική χειρουργική επέμβαση, μη καθορισμένη 
Z41;Ιατρικές επεμβάσεις για σκοπούς άλλους εκτός από την αποκατάσταση της υγείας
Z41.0;Μεταμόσχευση μαλλιών
Z41.1;Άλλη πλαστική επέμβαση για μη αποδεκτή αισθητική εμφάνιση
Z41.2;Περιτομή ρουτίνας και για θρησκευτικούς λόγους
Z41.3;Τρύπημα αυτιών
Z41.8;Άλλες ιατρικές επεμβάσεις με σκοπούς άλλους εκτός από την αποκατάσταση της υγείας 
Z41.9;Ιατρική επέμβαση για σκοπούς άλλους εκτός από την αποκατάσταση της υγείας, μη καθορισμένη 
Z42;Φροντίδα [follow-up] επακόλουθων καταστάσεων που αφορά πλαστική επέμβαση
Z42.0;Φροντίδα [follow-up] επακόλουθων καταστάσεων που αφορά πλαστική επέμβαση της κεφαλής και του τραχήλου
Z42.1;Φροντίδα [follow-up] επακόλουθων καταστάσεων που αφορά πλαστική επέμβαση του μαστού
Z42.2;Φροντίδα [follow-up] επακόλουθων καταστάσεων που αφορά πλαστική επέμβαση σε άλλα τμήματα του κορμού
Z42.3;Φροντίδα [follow-up] επακόλουθων καταστάσεων που αφορά πλαστική επέμβαση άνω άκρου
Z42.4;Φροντίδα [follow-up] επακόλουθων καταστάσεων που αφορά πλαστική επέμβαση κάτω άκρου
Z42.8;Φροντίδα [follow-up] επακόλουθων καταστάσεων που αφορά πλαστική επέμβαση σε άλλο τμήμα του σώματος
Z42.9;Φροντίδα [follow-up] επακόλουθων καταστάσεων που αφορά πλαστική επέμβαση, μη καθορισμένη
Z43;Περιποίηση τεχνητών στομίων
Z43.0;Περιποίηση της τραχειοστομίας
Z43.1;Περιποίηση της γαστροστομίας
Z43.2;Περιποίηση της ειλεοστομίας
Z43.3;Περιποίηση της κολοστομίας
Z43.4;Περιποίηση άλλων τεχνητών στομίων του πεπτικού συστήματος
Z43.5;Περιποίηση της κυστεοστομίας
Z43.6;Περιποίηση άλλων τεχνητών στομίων του ουροποιητικού συστήματος
Z43.7;Περιποίηση του τεχνητού κόλπου 
Z43.8;Περιποίηση άλλων τεχνητών στομίων
Z43.9;Περιποίηση μη καθορισμένου τεχνητού στομίου 
Z44;Εφαρμογή και ρύθμιση εξωτερικών προσθετικών συσκευών
Z44.0;Εφαρμογή και ρύθμιση τεχνητού βραχίονα (ολικός) (μερικός)
Z44.1;Εφαρμογή και ρύθμιση τεχνητού κάτω άκρου (ολικό) (μερικό)
Z44.2;Εφαρμογή και ρύθμιση τεχνητού οφθαλμού
Z44.3;Εφαρμογή και ρύθμιση εξωτερικών προθέσεων του μαστού
Z44.8;Εφαρμογή και ρύθμιση άλλων εξωτερικών προσθετικών συσκευών
Z44.9;Εφαρμογή και ρύθμιση μη καθορισμένης εξωτερικής προσθετικής συσκευής
Z45;Ρύθμιση και χειρισμός εμφυτευμένης συσκευής
Z45.0;Ρύθμιση και χειρισμός καρδιακού βηματοδότη
Z45.1;Ρύθμιση και χειρισμός αντλίας έγχυσης
Z45.2;Ρύθμιση και χειρισμός συσκευής αγγειακής πρόσβασης
Z45.3;Ρύθμιση και χειρισμός εμφυτευμένης ακουστικής συσκευής
Z45.8;Ρύθμιση και χειρισμός άλλων εμφυτευμένων συσκευών
Z45.9;Ρύθμιση και χειρισμός μη καθορισμένης εμφυτευμένης συσκευής
Z46;Εφαρμογή και ρύθμιση άλλων συσκευών
Z46.0;Εφαρμογή και ρύθμιση γυαλιών οράσεως και φακών επαφής
Z46.1;Εφαρμογή και ρύθμιση βοηθημάτων ακοής
Z46.2;Εφαρμογή και ρύθμιση άλλων συσκευών σχετικών με το νευρικό σύστημα και ειδικές αισθήσεις
Z46.3;Εφαρμογή και ρύθμιση οδοντιατρικής προσθετικής συσκευής
Z46.4;Εφαρμογή και ρύθμιση ορθοδοντικής συσκευής
Z46.5;Εφαρμογή και ρύθμιση ειλεοστομίας και άλλων εντερικών συσκευών
Z46.6;Εφαρμογή και ρύθμιση ουρολογικής συσκευής
Z46.7;Εφαρμογή και ρύθμιση ορθοπεδικής συσκευής
