A400001;ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΟΥΣ ΣΙΕΛΟΓΟΝΟΥΣ ΑΔΕΝΕΣ, ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΤΗΣ ΒΙΟΨΙΑΣ
X678389;ΕΚΤΟΜΗ ΠΡΟΪΕΡΟΥ  Ή ΙΕΡΟΥΚΟΚΚΥΓΙΚΟΥ ΟΓΚΟΥ
X678399;ΛΑΠΑΡΟΤΟΜΙΑ ΣΤΑΔΙΟΠΟΙΗΣΗΣ ΣΕ ΝΟΣΟ HODGKINS Ή ΛΕΜΦΩΜΑ (ΠΕΡΙΛΑΜΒΑΝΕΙ ΣΠΛΗΝΕΚΤΟΜΗ, ΑΝΟΙΚΤΕΣ Ή ΔΙΑ ΒΕΛΟΝΗΣ ΒΙΟΨΙΕΣ ΚΑΙ ΣΤΟΥΣ ΔΥΟ ΗΠΑΤΙΚΟΥΣ ΛΟΒΟΥΣ, ΚΑΘΩΣ ΚΑΙ ΠΙΘΑΝΗ ΑΦΑΙΡΕΣΗ ΚΟΙΛΙΑΚΩΝ ΛΕΜΦΑΔΕΝΩΝ, ΒΙΟΨΙΕΣ ΚΟΙΛΙΑΚΩΝ ΛΕΜΦΑΔΕΝΩΝ ΚΑΙ/Ή ΜΥΕΛΟΥ ΤΩΝ ΟΣΤΩΝ, ΩΟΘΗΚΙΚΗ ΕΠΑΝΑΤΟΠΟΘΕΤΗΣΗ)
X678459;ΟΜΦΑΛΕΚΤΟΜΗ, ΕΚΤΟΜΗ ΤΟΥ ΟΜΦΑΛΟΥ (ΞΕΧΩΡΙΣΤΗ ΔΙΑΔΙΚΑΣΙΑ)
X678469;ΕΠΙΠΛΟΕΚΤΟΜΗ, ΕΚΤΟΜΗ ΕΠΙΠΛΟΟΥ (ΞΕΧΩΡΙΣΤΗ ΔΙΑΔΙΚΑΣΙΑ)
X678599;ΛΑΠΑΡΟΣΚΟΠΗΣΗ, ΚΟΙΛΙΑ, ΠΕΡΙΤΟΝΑΙΟ, ΚΑΙ ΕΠΙΠΛΟΥΝ, ΔΙΑΓΝΩΣΤΙΚΗ, ΜΕ Ή ΧΩΡΙΣ ΣΥΛΛΟΓΗ ΔΕΙΓΜΑΤΟΣ(ΩΝ) ΜΕ ΒΟΥΡΤΣΙΣΜΑ Ή ΕΚΠΛΥΣΗ (ΞΕΧΩΡΙΣΤΗ ΔΙΑΔΙΚΑΣΙΑ)
X678601;ΛΑΠΑΡΟΣΚΟΠΗΣΗ, ΧΕΙΡΟΥΡΓΙΚΗ, ΜΕ ΒΙΟΨΙΑ (ΜΙΑ Ή ΠΟΛΛΑΠΛΕΣ)
X678603;ΛΑΠΑΡΟΣΚΟΠΗΣΗ, ΧΕΙΡΟΥΡΓΙΚΗ, ΜΕ ΑΝΑΡΡΟΦΗΣΗ ΚΟΙΛΟΤΗΤΑΣ Ή ΚΥΣΤΗΣ (Π.Χ. ΩΟΘΗΚΙΚΗ ΚΥΣΤΗ) (ΜΙΑ Ή ΠΟΛΛΑΠΛΕΣ)
X678605;ΛΑΠΑΡΟΣΚΟΠΗΣΗ, ΧΕΙΡΟΥΡΓΙΚΗ, ΜΕ ΠΑΡΟΧΕΤΕΥΣΗ ΛΕΜΦΟΚΗΛΗΣ ΣΤΗΝ ΠΕΡΙΤΟΝΑΪΚΗ ΚΟΙΛΟΤΗΤΑ
X678607;ΛΑΠΑΡΟΣΚΟΠΗΣΗ, ΧΕΙΡΟΥΡΓΙΚΗ, ΜΕ ΕΙΣΑΓΩΓΗ ΕΝΔΟΠΕΡΙΤΟΝΑΪΚΟΥ ΣΩΛΗΝΑ Ή ΚΑΘΕΤΗΡΑ, ΜΟΝΙΜΟΥ
X678609;ΛΑΠΑΡΟΣΚΟΠΗΣΗ, ΧΕΙΡΟΥΡΓΙΚΗ, ΜΕ ΑΝΑΘΕΩΡΗΣΗ ΠΡΟΗΓΟΥΜΕΝΩΣ ΤΟΠΟΘΕΤΗΜΕΝΟΥ ΕΝΔΟΠΕΡΙΤΟΝΑΪΚΟΥ ΣΩΛΗΝΑ Ή ΚΑΘΕΤΗΡΑ, ΜΕ ΑΦΑΙΡΕΣΗ ΤΟΥ ΕΝΔΟΑΥΛΙΚΟΥ ΑΠΟΦΡΑΣΣΟΝΤΟΣ ΥΛΙΚΟΥ. ΕΑΝ ΕΚΤΕΛΕΙΤΑΙ
X678611;ΛΑΠΑΡΟΣΚΟΠΗΣΗ, ΧΕΙΡΟΥΡΓΙΚΗ, ΜΕ ΕΠΙΠΛΟΟΠΗΞΙΑ (ΔΙΑΔΙΚΑΣΙΑ ΚΑΘΗΛΩΣΗΣ ΤΟΥ ΕΠΙΠΛΟΟΥ) (ΝΑ ΚΑΤΑΓΡΑΦΕΤΑΙ ΞΕΧΩΡΙΣΤΑ ΕΠΙΠΛΕΟΝ ΤΟΥ ΚΩΔΙΚΟΥ ΤΗΣ ΑΡΧΙΚΗΣ ΔΙΑΔΙΚΑΣΙΑΣ)
X678617;ΜΗ ΚΑΤΑΓΕΓΡΑΜΜΕΝΗ ΛΑΠΑΡΟΣΚΟΠΙΚΗ ΔΙΑΔΙΚΑΣΙΑ, ΚΟΙΛΙΑ, ΠΕΡΙΤΟΝΑΙΟ ΚΑΙ ΕΠΙΠΛΟΥΝ
X678759;ΕΓΧΥΣΗ ΑΕΡΑ Ή ΥΛΙΚΟΥ ΑΝΤΙΘΕΣΗΣ ΣΤΗΝ ΠΕΡΙΤΟΝΑΪΚΗ ΚΟΙΛΟΤΗΤΑ (ΞΕΧΩΡΙΣΤΗ ΔΙΑΔΙΚΑΣΙΑ)
X678763;ΑΦΑΙΡΕΣΗ ΠΕΡΙΤΟΝΑΪΚΟΥ ΞΕΝΟΥ ΣΩΜΑΤΟΣ ΑΠΟ ΤΗΝ ΠΕΡΙΤΟΝΑΪΚΗ ΚΟΙΛΟΤΗΤΑ
X678797;ΕΙΣΑΓΩΓΗ ΕΝΔΟΠΕΡΙΤΟΝΑΪΚΟΥ ΣΩΛΗΝΑ Ή ΚΑΘΕΤΗΡΑ, ΜΕ ΥΠΟΔΟΡΙΑ ΔΕΞΑΜΕΝΗ, ΜΟΝΙΜΗ (ΔΗΛ. ΠΛΗΡΩΣ ΕΜΦΥΤΕΥΣΙΜΗ)
X678799;ΕΙΣΑΓΩΓΗ ΕΝΔΟΠΕΡΙΤΟΝΑΪΚΟΥ ΣΩΛΗΝΑ Ή ΚΑΘΕΤΗΡΑ ΓΙΑ ΠΑΡΟΧΕΤΕΥΣΗ Ή ΑΙΜΟΚΑΘΑΡΣΗ Ή ΠΕΡΙΤΟΝΑΪΚΗ ΚΑΘΑΡΣΗ ΠΡΟΣΩΡΙΝΗ
X678801;ΕΙΣΑΓΩΓΗ ΕΝΔΟΠΕΡΙΤΟΝΑΪΚΟΥ ΣΩΛΗΝΑ Ή ΚΑΘΕΤΗΡΑ ΓΙΑ ΠΑΡΟΧΕΤΕΥΣΗ Ή ΑΙΜΟΚΑΘΑΡΣΗ Ή ΠΕΡΙΤΟΝΑΪΚΗ ΚΑΘΑΡΣΗ ΜΟΝΙΜΗ
X678803;ΑΦΑΙΡΕΣΗ ΤΟΥ ΜΟΝΙΜΟΥ ΕΝΔΟΠΕΡΙΤΟΝΑΪΚΟΥ ΣΩΛΗΝΑ Ή ΚΑΘΕΤΗΡΑ
X678805;ΑΛΛΑΓΗ ΠΡΟΗΓΟΥΜΕΝΩΣ ΤΟΠΟΘΕΤΗΜΕΝΟΥ ΚΑΘΕΤΗΡΑ ΠΑΡΟΧΕΤΕΥΣΗΣ ΑΠΟΣΤΗΜΑΤΟΣ Ή ΚΥΣΤΗΣ ΥΠΟ ΑΚΤΙΝΟΛΟΓΙΚΗ ΚΑΘΟΔΗΓΗΣΗ (ΞΕΧΩΡΙΣΤΗ ΔΙΑΔΙΚΑΣΙΑ)
X678807;ΕΓΧΥΣΗ ΥΛΙΚΟΥ ΑΝΤΙΘΕΣΗΣ ΓΙΑ ΤΗΝ ΕΚΤΙΜΗΣΗ ΑΠΟΣΤΗΜΑΤΟΣ Ή ΚΥΣΤΗΣ ΜΕΣΩ ΠΡΟΗΓΟΥΜΕΝΩΣ ΤΟΠΟΘΕΤΗΜΕΝΟΥ ΚΑΘΕΤΗΡΑ Ή ΣΩΛΗΝΑ ΠΑΡΟΧΕΤΕΥΣΗΣ (ΞΕΧΩΡΙΣΤΗ ΔΙΑΔΙΚΑΣΙΑ)
X678809;ΕΙΣΑΓΩΓΗ ΠΕΡΙΤΟΝΑΪΚΗΣ-ΦΛΕΒΙΚΗΣ ΠΑΡΑΚΑΜΨΗΣ
X678811;ΑΝΑΘΕΩΡΗΣΗ ΠΕΡΙΤΟΝΑΪΚΗΣ-ΦΛΕΒΙΚΗΣ ΠΑΡΑΚΑΜΨΗΣ
X678813;ΔΙΑΔΙΚΑΣΙΑ ΕΓΧΥΣΗΣ (Π.Χ. ΥΛΙΚΟΥ ΑΝΤΙΘΕΣΗΣ) ΓΙΑ ΤΗΝ ΑΞΙΟΛΟΓΗΣΗ ΤΗΣ ΠΡΟΗΓΟΥΜΕΝΩΣ ΤΟΠΟΘΕΤΗΜΕΝΗΣ ΠΕΡΙΤΟΝΑΪΚΗΣ-ΦΛΕΒΙΚΗΣ ΠΑΡΑΚΑΜΨΗΣ
X678815;ΑΠΟΛΙΝΩΣΗ ΠΕΡΙΤΟΝΑΪΚΗΣ-ΦΛΕΒΙΚΗΣ ΠΑΡΑΚΑΜΨΗΣ
X678817;ΑΦΑΙΡΕΣΗ ΠΕΡΙΤΟΝΑΪΚΗΣ-ΦΛΕΒΙΚΗΣ ΠΑΡΑΚΑΜΨΗΣ
X678829;ΕΙΣΑΓΩΓΗ ΥΠΟΔΟΡΙΑΣ ΕΠΕΚΤΑΣΗΣ ΤΟΥ ΕΝΔΟΠΕΡΙΤΟΝΑΪΚΟΥ ΣΩΛΗΝΑ Ή  ΚΑΘΕΤΗΡΑ ΜΕ ΑΠΟΜΑΚΡΥΣΜΕΝΟ ΣΗΜΕΙΟ ΕΞΟΔΟΥ ΣΤΟΝ ΘΩΡΑΚΑ (ΝΑ ΚΑΤΑΓΡΑΦΕΤΑΙ ΞΕΧΩΡΙΣΤΑ ΕΠΙΠΛΕΟΝ ΤΟΥ ΚΩΔΙΚΟΥ ΤΗΣ ΑΡΧΙΚΗΣ ΔΙΑΔΙΚΑΣΙΑΣ)
X678831;ΣΕ ΔΕΥΤΕΡΟ ΧΡΟΝΟ ΔΗΜΙΟΥΡΓΙΑ ΣΗΜΕΙΟΥ ΕΞΟΔΟΥ ΑΠΟ ΕΜΦΥΤΕΥΜΕΝΟ ΥΠΟΔΟΡΙΟ ΤΜΗΜΑ ΤΟΥ ΕΝΔΟΠΕΡΙΤΟΝΑΪΚΟΥ ΣΩΛΗΝΑ Ή ΚΑΘΕΤΗΡΑ
X678839;ΕΙΣΑΓΩΓΗ ΣΩΛΗΝΑ ΓΑΣΤΡΟΣΤΟΜΙΑΣ, ΔΙΑΔΕΡΜΙΚΑ, ΥΠΟ ΑΚΤΙΝΟΣΚΟΠΙΚΗ ΚΑΘΟΔΗΓΗΣΗ ΠΟΥ ΠΕΡΙΛΑΜΒΑΝΕΙ ΕΓΧΥΣΗ(ΕΙΣ) ΥΛΙΚΟΥ ΑΝΤΙΘΕΣΗΣ, ΤΕΚΜΗΡΙΩΣΗ ΕΙΚΟΝΑΣ ΚΑΙ ΑΝΑΦΟΡΑ
X678841;ΕΙΣΑΓΩΓΗ ΣΩΛΗΝΑ ΔΩΔΕΚΑΔΑΚΤΥΛΟΣΤΟΜΙΑΣ Ή ΝΗΣΤΙΔΟΣΤΟΜΙΑΣ, ΔΙΑΔΕΡΜΙΚΑ, ΥΠΟ ΑΚΤΙΝΟΣΚΟΠΙΚΗ ΚΑΘΟΔΗΓΗΣΗ, ΠΟΥ ΠΕΡΙΛΑΜΒΑΝΕΙ ΕΓΧΥΣΗ(ΕΙΣ) ΥΛΙΚΟΥ ΑΝΤΙΘΕΣΗΣ, ΤΕΚΜΗΡΙΩΣΗ ΕΙΚΟΝΑΣ ΚΑΙ ΑΝΑΦΟΡΑ
X678843;ΕΙΣΑΓΩΓΗ ΣΩΛΗΝΑ ΤΥΦΛΟΣΤΟΜΙΑΣ Ή ΑΛΛΟΥ ΣΩΛΗΝΑ ΠΑΧΕΟΣ ΕΝΤΕΡΟΥ, ΔΙΑΔΕΡΜΙΚΑ, ΥΠΟ ΑΚΤΙΝΟΣΚΟΠΙΚΗ ΚΑΘΟΔΗΓΗΣΗ, ΠΟΥ ΠΕΡΙΛΑΜΒΑΝΕΙ ΕΓΧΥΣΗ(ΕΙΣ) ΥΛΙΚΟΥ ΑΝΤΙΘΕΣΗΣ, ΤΕΚΜΗΡΙΩΣΗ ΕΙΚΟΝΑΣ ΚΑΙ ΑΝΑΦΟΡΑ
X678851;ΜΕΤΑΤΡΟΠΗ ΤΟΥ ΣΩΛΗΝΑ ΓΑΣΤΡΟΣΤΟΜΙΑΣ ΣΕ ΣΩΛΗΝΑ ΓΑΣΤΡΟ-ΝΗΣΤΙΔΟΣΤΟΜΙΑΣ, ΔΙΑΔΕΡΜΙΚΑ ΥΠΟ ΑΚΤΙΝΟΣΚΟΠΙΚΗ ΚΑΘΟΔΗΓΗΣΗ, ΠΟΥ ΠΕΡΙΛΑΜΒΑΝΕΙ ΕΓΧΥΣΗ(ΕΙΣ) ΥΛΙΚΟΥ ΑΝΤΙΘΕΣΗΣ, ΤΕΚΜΗΡΙΩΣΗ ΕΙΚΟΝΑΣ ΚΑΙ ΑΝΑΦΟΡΑ
X678859;ΑΝΤΙΚΑΤΑΣΤΑΣΗ ΤΟΥ ΣΩΛΗΝΑ ΓΑΣΤΡΟΣΤΟΜΙΑΣ Ή ΤΥΦΛΟΣΤΟΜΙΑΣ (Ή ΑΛΛΟΥ ΣΩΛΗΝΑ ΤΟΥ ΠΑΧΕΟΣ ΕΝΤΕΡΟΥ), ΔΙΑΔΕΡΜΙΚΑ, ΥΠΟ ΑΚΤΙΝΟΣΚΟΠΙΚΗ ΚΑΘΟΔΗΓΗΣΗ, ΠΟΥ ΠΕΡΙΛΑΜΒΑΝΕΙ ΕΓΧΥΣΗ(ΕΙΣ) ΥΛΙΚΟΥ ΑΝΤΙΘΕΣΗΣ, ΤΕΚΜΗΡΙΩΣΗ ΕΙΚΟΝΑΣ ΚΑΙ ΑΝΑΦΟΡΑ
X678861;ΑΝΤΙΚΑΤΑΣΤΑΣΗ ΣΩΛΗΝΑ ΔΩΔΕΚΑΔΑΚΤΥΛΟΣΤΟΜΙΑΣ Ή ΝΗΣΤΙΔΟΣΤΟΜΙΑΣ, ΔΙΑΔΕΡΜΙΚΑ, ΥΠΟ ΑΚΤΙΝΟΣΚΟΠΙΚΗ ΚΑΘΟΔΗΓΗΣΗ, ΠΟΥ ΠΕΡΙΛΑΜΒΑΝΕΙ ΕΓΧΥΣΗ(ΕΙΣ) ΥΛΙΚΟΥ ΑΝΤΙΘΕΣΗΣ, ΤΕΚΜΗΡΙΩΣΗ ΕΙΚΟΝΑΣ ΚΑΙ ΑΝΑΦΟΡΑ
X678863;ΑΝΤΙΚΑΤΑΣΤΑΣΗ  ΣΩΛΗΝΑ ΓΑΣΤΡΟ-ΝΗΣΤΙΔΟΣΤΟΜΙΑΣ, ΔΙΑΔΕΡΜΙΚΑ, ΥΠΟ ΑΚΤΙΝΟΣΚΟΠΙΚΗ ΚΑΘΟΔΗΓΗΣΗ ΠΟΥ ΠΕΡΙΛΑΜΒΑΝΕΙ ΕΓΧΥΣΗ(ΕΙΣ) ΥΛΙΚΟΥ ΑΝΤΙΘΕΣΗΣ, ΤΕΚΜΗΡΙΩΣΗ ΕΙΚΟΝΑΣ ΚΑΙ ΑΝΑΦΟΡΑ
X678879;ΜΗΧΑΝΙΚΗ ΑΠΟΜΑΚΡΥΝΣΗ ΑΠΟΦΡΑΣΣΟΝΤΟΣ ΥΛΙΚΟΥ ΑΠΟ ΤΟ ΣΩΛΗΝΑ ΓΑΣΤΡΟΣΤΟΜΙΑΣ, ΔΩΔΕΚΑΔΑΚΤΥΛΟΣΤΟΜΙΑΣ, ΝΗΣΤΙΔΟΣΤΟΜΙΑΣ, ΓΑΣΤΡΟ-ΝΗΣΤΙΔΟΣΤΟΜΙΑΣ, Ή ΤΥΦΛΟΣΤΟΜΙΑΣ (Ή ΑΛΛΟ ΣΩΛΗΝΑ ΠΑΧΕΟΣ ΕΝΤΕΡΟΥ), ΜΕ ΟΠΟΙΑΔΗΠΟΤΕ ΜΕΘΟΔΟ, ΥΠΟ ΑΚΤΙΝΟΣΚΟΠΙΚΗ ΚΑΘΟΔΗΓΗΣΗ ΠΟΥ ΠΕΡΙΛΑΜΒΑΝΕΙ  ΕΓΧΥΣΗ(ΕΙΣ) ΥΛΙΚΟΥ ΑΝΤΙΘΕΣΗΣ, ΕΑΝ ΠΡΑΓΜΑΤΟΠΟΙΟΕΙΤΑΙ, ΤΕΚΜΗΡΙΩΣΗ ΕΙΚΟΝΑΣ ΚΑΙ ΑΝΑΦΟΡΑ
X678889;ΕΓΧΥΣΗ(ΕΙΣ) ΥΛΙΚΟΥ ΑΝΤΙΘΕΣΗΣ ΓΙΑ ΑΚΤΙΝΟΛΟΓΙΚΗ ΑΞΙΟΛΟΓΗΣΗ ΥΠΑΡΧΟΝΤΟΣ ΣΩΛΗΝΑ ΓΑΣΤΡΟΣΤΟΜΙΑΣ, ΔΩΔΕΚΑΔΑΚΤΥΛΟΣΤΟΜΙΑΣ, ΝΗΣΤΙΔΟΣΤΟΜΙΑΣ, ΓΑΣΤΡΟ-ΝΗΣΤΙΔΟΣΤΟΜΙΑΣ, Ή  ΤΥΦΛΟΣΤΟΜΙΑΣ (Ή ΑΛΛΟΥ ΣΩΛΗΝΑ ΠΑΧΕΟΣ ΕΝΤΕΡΟΥ), ΜΕΣΩ ΔΙΑΔΕΡΜΙΚΗΣ ΠΡΟΣΕΓΓΙΣΗΣ ΠΟΥ ΠΕΡΙΛΑΜΒΑΝΕΙ ΤΕΚΜΗΡΙΩΣΗ ΕΙΚΟΝΑΣ ΚΑΙ ΑΝΑΦΟΡΑ
X678941;ΑΠΟΚΑΤΑΣΤΑΣΗ, ΑΡΧΙΚΗΣ ΒΟΥΒΩΝΟΚΗΛΗΣ, ΠΡΟΩΡΟ ΝΕΟΓΝΟ (ΛΙΓΟΤΕΡΟ ΑΠΟ 37 ΕΒΔΟΜΑΔΕΣ ΚΥΗΣΗΣ ΚΑΤΑ ΤΗ ΓΕΝΝΗΣΗ), ΠΟΥ ΠΡΑΓΜΑΤΟΠΟΙΕΙΤΑΙ ΑΠΟ ΤΗ ΓΕΝΝΗΣΗ ΕΩΣ 50 ΕΒΔΟΜΑΔΕΣ ΜΕΤΑ ΤΗ ΣΥΛΛΗΨΗ, ΜΕ Ή ΧΩΡΙΣ ΕΚΤΟΜΗ ΥΔΡΟΚΗΛΗΣ, ΑΝΑΤΑΞΙΜΗ
X678943;ΑΠΟΚΑΤΑΣΤΑΣΗ, ΑΡΧΙΚΗΣ ΒΟΥΒΩΝΟΚΗΛΗΣ, ΠΡΟΩΡΟ ΝΕΟΓΝΟ (ΛΙΓΟΤΕΡΟ ΑΠΟ 37 ΕΒΔΟΜΑΔΕΣ ΚΥΗΣΗΣ ΚΑΤΑ ΤΗ ΓΕΝΝΗΣΗ), ΠΟΥ ΠΡΑΓΜΑΤΟΠΟΙΕΙΤΑΙ ΑΠΟ ΤΗ ΓΕΝΝΗΣΗ ΕΩΣ 50 ΕΒΔΟΜΑΔΕΣ ΜΕΤΑ ΤΗ ΣΥΛΛΗΨΗ, ΜΕ Ή ΧΩΡΙΣ ΕΚΤΟΜΗ ΥΔΡΟΚΗΛΗΣ, ΠΕΡΙΕΣΦΙΓΜΕΝΗ
X678949;ΑΠΟΚΑΤΑΣΤΑΣΗ, ΑΡΧΙΚΗΣ ΒΟΥΒΩΝΟΚΗΛΗΣ, ΝΕΟΓΝΑ ΠΛΗΡΟΥΣ ΚΥΗΣΗΣ ΗΛΙΚΙΑΣ ΜΙΚΡΟΤΕΡΗΣ ΑΠΟ 6 ΜΗΝΕΣ, Ή ΠΡΟΩΡΑ ΝΕΟΓΝΑ ΗΛΙΚΙΑΣ ΜΕΓΑΛΥΤΕΡΗΣ ΑΠΟ 50 ΕΒΔΟΜΑΔΕΣ ΑΠΟ ΤΗ ΣΥΛΛΗΨΗ ΚΑΙ  ΜΙΚΡΟΤΕΡΗΣ ΤΩΝ 6 ΜΗΝΩΝΣ ΚΑΤΑ ΤΟ ΧΡΟΝΟ ΤΗΣ ΕΓΧΕΙΡΗΣΗΣ, ΜΕ Ή ΧΩΡΙΣ ΕΚΤΟΜΗ ΥΔΡΟΚΗΛΗΣ, ΑΝΑΤΑΞΙΜΗ
X678951;ΑΠΟΚΑΤΑΣΤΑΣΗ, ΑΡΧΙΚΗΣ ΒΟΥΒΩΝΟΚΗΛΗΣ, ΝΕΟΓΝΑ ΠΛΗΡΟΥΣ ΚΥΗΣΗΣ ΗΛΙΚΙΑΣ ΜΙΚΡΟΤΕΡΗΣ ΑΠΟ 6 ΜΗΝΕΣ, Ή ΠΡΟΩΡΑ ΝΕΟΓΝΑ ΗΛΙΚΙΑΣ ΜΕΓΑΛΥΤΕΡΗΣ ΑΠΟ 50 ΕΒΔΟΜΑΔΕΣ ΑΠΟ ΤΗ ΣΥΛΛΗΨΗ ΚΑΙ  ΜΙΚΡΟΤΕΡΗΣ ΤΩΝ 6 ΜΗΝΩΝΣ ΚΑΤΑ ΤΟ ΧΡΟΝΟ ΤΗΣ ΕΓΧΕΙΡΗΣΗΣ, ΜΕ Ή ΧΩΡΙΣ ΕΚΤΟΜΗ ΥΔΡΟΚΗΛΗΣ, ΠΕΡΙΕΣΦΙΓΜΕΝΗ
X678959;ΑΠΟΚΑΤΑΣΤΑΣΗ ΑΡΧΙΚΗΣ ΒΟΥΒΩΝΟΚΗΛΗΣ, ΣΕ ΗΛΙΚΙΑ ΑΠΟ 6 ΜΗΝΕΣ ΕΩΣ ΜΙΚΡΟΤΕΡΗ ΑΠΟ 5 ΕΤΗ, ΜΕ Ή ΧΩΡΙΣ ΕΚΤΟΜΗ ΥΔΡΟΚΗΛΗΣ, ΑΝΑΤΑΞΙΜΗ
X678961;ΑΠΟΚΑΤΑΣΤΑΣΗ ΑΡΧΙΚΗΣ ΒΟΥΒΩΝΟΚΗΛΗΣ, ΣΕ ΗΛΙΚΙΑ ΑΠΟ 6 ΜΗΝΕΣ ΕΩΣ ΜΙΚΡΟΤΕΡΗ ΑΠΟ 5 ΕΤΗ, ΜΕ Ή ΧΩΡΙΣ ΕΚΤΟΜΗ ΥΔΡΟΚΗΛΗΣ, ΠΕΡΙΕΣΦΙΓΜΕΝΗ
X678969;ΑΠΟΚΑΤΑΣΤΑΣΗ ΑΡΧΙΚΗΣ ΒΟΥΒΩΝΟΚΗΛΗΣ, ΣΕ ΗΛΙΚΙΑ 5 ΕΤΩΝ Ή ΜΕΓΑΛΥΤΕΡΗ, ΑΝΑΤΑΞΙΜΗ
X678973;ΑΠΟΚΑΤΑΣΤΑΣΗ ΑΡΧΙΚΗΣ ΒΟΥΒΩΝΟΚΗΛΗΣ, ΣΕ ΗΛΙΚΙΑ 5 ΕΤΩΝ Ή ΜΕΓΑΛΥΤΕΡΗ,  ΠΕΡΙΕΣΦΙΓΜΕΝΗ
X678999;ΑΠΟΚΑΤΑΣΤΑΣΗ ΥΠΟΤΡΟΠΙΑΖΟΥΣΑΣ ΒΟΥΒΩΝΟΚΗΛΗΣ, ΣΕ ΟΠΟΙΑΔΗΠΟΤΕ ΗΛΙΚΙΑ, ΑΝΑΤΑΞΙΜΗ
X679001;ΑΠΟΚΑΤΑΣΤΑΣΗ ΥΠΟΤΡΟΠΙΑΖΟΥΣΑΣ ΒΟΥΒΩΝΟΚΗΛΗΣ, ΣΕ ΟΠΟΙΑΔΗΠΟΤΕ ΗΛΙΚΙΑ, ΠΕΡΙΕΣΦΙΓΜΕΝΗ
X679009;ΑΠΟΚΑΤΑΣΤΑΣΗ ΑΡΧΙΚΗΣ ΒΟΥΒΩΝΟΚΗΛΗΣ, ΤΥΠΟΥ ΚΑΤ' ΕΠΟΛΙΣΘΗΣΗΣ, ΣΕ ΟΠΟΙΑΔΗΠΟΤΕ ΗΛΙΚΙΑ
X679039;ΑΠΟΚΑΤΑΣΤΑΣΗ ΟΣΦΥΪΚΗΣ ΚΗΛΗΣ
X679059;ΑΠΟΚΑΤΑΣΤΑΣΗ ΑΡΧΙΚΗΣ ΜΗΡΟΚΗΛΗΣ, ΣΕ ΟΠΟΙΑΔΗΠΟΤΕ ΗΛΙΚΙΑ, ΑΝΑΤΑΞΙΜΗ
X679065;ΑΠΟΚΑΤΑΣΤΑΣΗ ΑΡΧΙΚΗΣ ΜΗΡΟΚΗΛΗΣ, ΣΕ ΟΠΟΙΑΔΗΠΟΤΕ ΗΛΙΚΙΑ, ΠΕΡΙΕΣΦΙΓΜΕΝΗ
X679069;ΑΠΟΚΑΤΑΣΤΑΣΗ ΥΠΟΤΡΟΠΙΑΖΟΥΣΑΣ ΜΗΡΟΚΗΛΗΣ, ΑΝΑΤΑΞΙΜΗ
X679073;ΑΠΟΚΑΤΑΣΤΑΣΗ ΥΠΟΤΡΟΠΙΑΖΟΥΣΑΣ ΜΗΡΟΚΗΛΗΣ, ΠΕΡΙΕΣΦΙΓΜΕΝΗ
X679079;ΑΠΟΚΑΤΑΣΤΑΣΗ ΑΡΧΙΚΗΣ ΜΕΤΕΓΧΕΙΡΗΤΙΚΗΣ ΚΗΛΗΣ Ή ΚΟΙΛΙΟΚΗΛΗΣ, ΑΝΑΤΑΞΙΜΗ
X679081;ΑΠΟΚΑΤΑΣΤΑΣΗ ΑΡΧΙΚΗΣ ΜΕΤΕΓΧΕΙΡΗΤΙΚΗΣ ΚΗΛΗΣ Ή ΚΟΙΛΙΟΚΗΛΗΣ,  ΠΕΡΙΕΣΦΙΓΜΕΝΗ
X679089;ΑΠΟΚΑΤΑΣΤΑΣΗ ΥΠΟΤΡΟΠΙΑΖΟΥΣΑΣ ΜΕΤΕΓΧΕΙΡΗΤΙΚΗΣ ΚΗΛΗΣ Ή ΚΟΙΛΙΟΚΗΛΗΣ, ΑΝΑΤΑΞΙΜΗ
X679091;ΑΠΟΚΑΤΑΣΤΑΣΗ ΥΠΟΤΡΟΠΙΑΖΟΥΣΑΣ ΜΕΤΕΓΧΕΙΡΗΤΙΚΗΣ ΚΗΛΗΣ Ή ΚΟΙΛΙΟΚΗΛΗΣ,  ΠΕΡΙΕΣΦΙΓΜΕΝΗ
